Date,AAPL,AMCR,AMZN,ARG,ATVI,BBBY,BKNG,COST,COTY,CRM,CVX,EBAY,EL,ETSY,EXPE,F,FCX,FDX,FL,GM,GOOGL,HD,HON,INTC,JNJ,JPM,KO,LMT,LULU,MA,MCD,META,MRK,MSFT,MUR,NBR,NEM,NKE,NKTR,NVDA,PEP,PFE,PRGO,PYPL,SBUX,SIG,STI,T,TRIP,TSLA,UA,ULTA,UNP,URBN,V,VZ,WFC,WMT,X,XEC,XOM,YHOO
2018-08-15 00:00:00+00:00,50.027164459228516,7.725479602813721,94.13099670410156,,,,1850.174072265625,200.76318359375,10.559662818908691,144.39895629882812,89.0124282836914,30.723758697509766,124.23023223876953,44.86000061035156,129.06625366210938,6.975934028625488,12.650829315185547,219.38925170898438,40.01639938354492,32.58975601196289,61.45881652832031,166.43801879882812,128.39797973632812,40.58964157104492,109.87358856201172,94.75749206542969,37.91716384887695,268.9851379394531,126.44999694824219,193.41677856445312,138.16384887695312,178.9910888671875,53.385189056396484,101.2405776977539,24.39068603515625,278.84918212890625,25.993499755859375,74.31070709228516,58.619998931884766,6.415380001068115,94.69925689697266,30.16394805908203,59.50962448120117,85.19000244140625,46.283935546875,53.90498352050781,,15.162614822387695,47.39838790893555,22.57933235168457,19.020000457763672,231.97999572753906,129.9913787841797,45.33000183105469,133.76150512695312,38.34096145629883,48.41362380981445,27.258817672729492,27.769168853759766,,57.03297424316406,
2018-08-16 00:00:00+00:00,50.76005935668945,7.725479602813721,94.32599639892578,,,,1811.94921875,202.13983154296875,10.605854988098145,145.08592224121094,89.65242767333984,30.642093658447266,124.26744842529297,45.630001068115234,128.5762481689453,7.020225524902344,12.752702713012695,221.8851776123047,41.17509078979492,32.907135009765625,61.05182647705078,167.63917541503906,129.80039978027344,40.34162902832031,111.60050201416016,95.64921569824219,38.03235626220703,275.8939208984375,129.47000122070312,196.6623077392578,139.76255798339844,174.1755828857422,54.5579719543457,101.22175598144531,24.407007217407227,272.7464294433594,25.830028533935547,74.75898742675781,59.95000076293945,6.374768257141113,95.36703491210938,30.35449981689453,60.332332611083984,85.31999969482422,46.53839111328125,54.046966552734375,,15.452136993408203,47.77188491821289,22.363332748413086,19.219999313354492,233.1699981689453,130.22703552246094,45.56999969482422,134.66143798828125,39.08271789550781,48.97297286987305,29.802810668945312,28.228328704833984,,57.81873321533203,
2018-08-17 00:00:00+00:00,51.77374267578125,7.725479602813721,94.11100006103516,,,,1827.5269775390625,204.3949737548828,11.289508819580078,144.37905883789062,89.75914764404297,30.85986328125,126.47241973876953,46.529998779296875,128.40965270996094,7.049754619598389,12.937928199768066,222.50689697265625,41.961341857910156,32.98874282836914,60.642337799072266,167.78501892089844,130.7017364501953,40.28176498413086,113.27682495117188,95.64921569824219,38.34504318237305,275.3605041503906,130.19000244140625,196.2855682373047,139.26133728027344,173.2782745361328,54.72438430786133,101.16532897949219,24.0398006439209,281.1963806152344,26.206031799316406,74.47882843017578,60.029998779296875,6.0622711181640625,95.95967102050781,30.845500946044922,62.52622604370117,85.44999694824219,46.994659423828125,55.36907196044922,,15.424116134643555,47.620704650878906,20.366666793823242,18.920000076293945,235.0399932861328,130.41024780273438,46.619998931884766,135.31246948242188,39.45719909667969,49.139957427978516,29.56412124633789,28.76399803161621,,58.01146697998047,
2018-08-20 00:00:00+00:00,51.269283294677734,7.725479602813721,93.83550262451172,,,,1845.3189697265625,205.90744018554688,11.455801963806152,145.06600952148438,89.72102355957031,30.86893653869629,130.77061462402344,46.900001525878906,128.9290313720703,7.175247669219971,13.076844215393066,224.17384338378906,42.83863830566406,33.342384338378906,60.94658660888672,169.81838989257812,130.9544219970703,39.76859664916992,115.30705261230469,95.52422332763672,38.452022552490234,274.5054016113281,136.6699981689453,197.77310180664062,139.71937561035156,171.982177734375,55.60396957397461,100.49767303466797,24.35804557800293,285.89080810546875,26.067068099975586,76.74820709228516,60.599998474121094,6.137052536010742,95.85950469970703,31.021379470825195,64.6944351196289,85.75,47.31052017211914,56.5225944519043,,15.461479187011719,47.878597259521484,20.562667846679688,19.450000762939453,239.32000732421875,131.62306213378906,47.5099983215332,134.93910217285156,39.35637283325195,49.28187561035156,29.005168914794922,29.318815231323242,,58.419166564941406,
2018-08-21 00:00:00+00:00,51.16933059692383,7.800481796264648,94.1709976196289,,,,1884.5169677734375,206.98521423339844,10.64280891418457,144.8867950439453,89.86581420898438,31.331695556640625,127.1143569946289,47.56999969482422,128.8800506591797,7.278594493865967,13.262066841125488,226.2643280029297,43.31040573120117,33.46934127807617,60.72014236450195,171.7917022705078,132.22630310058594,40.726470947265625,114.01814270019531,96.10757446289062,38.03235626220703,274.6493835449219,135.61000061035156,196.16966247558594,139.1663055419922,172.10182189941406,54.811546325683594,99.66073608398438,24.733417510986328,291.9935607910156,26.11610984802246,77.4673080444336,61.959999084472656,6.272749423980713,94.92460632324219,30.896799087524414,63.477500915527344,86.22000122070312,47.380706787109375,56.51372146606445,,15.59689998626709,47.878597259521484,21.459999084472656,19.860000610351562,242.17999267578125,132.24261474609375,47.7400016784668,134.077392578125,39.543617248535156,49.223445892333984,29.02933692932129,29.701440811157227,,58.43397903442383,
2018-08-22 00:00:00+00:00,51.17171096801758,7.800481796264648,95.24500274658203,,,,1903.3017578125,207.59202575683594,10.827580451965332,145.81268310546875,90.6125259399414,31.485965728759766,125.66300201416016,47.84000015258789,126.61074829101562,7.15310001373291,13.456552505493164,222.50689697265625,43.144866943359375,32.76205062866211,60.93661117553711,170.71070861816406,131.51034545898438,40.23898696899414,113.39480590820312,95.81590270996094,37.793731689453125,272.5580749511719,135.47999572753906,197.3480987548828,138.7428741455078,173.11875915527344,54.70852279663086,100.67634582519531,25.198537826538086,302.790771484375,26.418554306030273,77.17778015136719,63.09000015258789,6.507988929748535,93.6892318725586,30.830852508544922,63.76888656616211,86.94999694824219,46.34535598754883,56.708946228027344,,15.260677337646484,47.620704650878906,21.44266700744629,19.81999969482422,234.6999969482422,131.16064453125,45.47999954223633,135.13059997558594,38.989097595214844,49.39875793457031,28.905458450317383,29.864055633544922,,59.271602630615234,
2018-08-23 00:00:00+00:00,51.27641677856445,7.800481796264648,95.1449966430664,,,,1881.359619140625,207.86373901367188,10.753670692443848,147.17665100097656,89.98772430419922,31.213748931884766,123.85810089111328,48.810001373291016,126.65003204345703,7.108808994293213,13.132410049438477,220.28131103515625,44.03043746948242,32.34492874145508,60.90718078613281,171.731689453125,133.00965881347656,40.17912673950195,113.81598663330078,95.61585998535156,37.6044807434082,270.9410400390625,136.1999969482422,198.2270965576172,137.44659423828125,172.3809814453125,54.6530647277832,101.14654541015625,25.019023895263672,305.13800048828125,25.879066467285156,77.4299545288086,63.5099983215332,6.607532024383545,93.43047332763672,30.92610740661621,63.37467956542969,87.37999725341797,46.20497131347656,55.60865020751953,,15.171957015991211,47.24721145629883,21.34000015258789,19.940000534057617,239.39999389648438,131.09080505371094,47.16999816894531,136.04974365234375,39.08991241455078,48.9395866394043,28.757413864135742,29.261415481567383,,58.619293212890625,
2018-08-24 00:00:00+00:00,51.43585205078125,7.800481796264648,95.26950073242188,,,,1889.7393798828125,209.46681213378906,11.067781448364258,151.6268768310547,90.68109893798828,31.331695556640625,126.14674377441406,49.040000915527344,127.92711639404297,7.1457200050354,13.400986671447754,220.77685546875,39.99155044555664,32.59883117675781,61.68476104736328,172.7097625732422,132.67274475097656,40.76068878173828,114.52363586425781,95.57421112060547,37.54688262939453,272.0246887207031,138.75999450683594,202.2646484375,137.7317657470703,174.12571716308594,54.70852279663086,101.93645477294922,25.63103675842285,303.26019287109375,26.18151092529297,77.00035858154297,63.88999938964844,6.740752696990967,93.6141128540039,31.07268714904785,63.66604232788086,90.0999984741211,46.283935546875,54.747947692871094,,15.241997718811035,47.46952819824219,21.521333694458008,19.709999084472656,241.6699981689453,130.99484252929688,45.599998474121094,138.06028747558594,39.44999694824219,48.998023986816406,28.687923431396484,29.605785369873047,,59.019588470458984,
2018-08-27 00:00:00+00:00,51.85940170288086,7.800481796264648,96.38400268554688,,,,1921.8680419921875,208.33468627929688,11.215599060058594,151.00961303710938,91.70213317871094,31.377077102661133,128.62149047851562,48.13999938964844,129.57754516601562,7.374558925628662,13.641777992248535,224.27294921875,40.50469970703125,34.17662811279297,62.658348083496094,173.293212890625,134.2225799560547,41.350807189941406,114.41338348388672,97.2660140991211,37.59624481201172,274.60693359375,138.16000366210938,204.32208251953125,138.682373046875,176.9272918701172,54.668922424316406,103.06489562988281,25.484153747558594,299.504638671875,26.36133575439453,77.18714141845703,65.22000122070312,6.831878662109375,93.83113098144531,30.471752166748047,63.957435607910156,89.97000122070312,46.47696304321289,51.84640121459961,,15.330727577209473,47.451744079589844,21.284666061401367,19.030000686645508,240.83999633789062,133.3070526123047,44.970001220703125,139.20925903320312,39.500404357910156,49.34031677246094,28.564048767089844,29.328378677368164,,59.597774505615234,
2018-08-28 00:00:00+00:00,52.2781982421875,7.747979164123535,96.64099884033203,,,,1917.429931640625,208.5430145263672,11.742195129394531,152.31382751464844,91.32877349853516,31.522258758544922,130.3333740234375,47.880001068115234,129.2435302734375,7.389322757720947,13.576950073242188,223.128662109375,39.91706848144531,33.84112548828125,62.13913345336914,173.2846221923828,134.85430908203125,41.53895568847656,113.90457916259766,96.79096221923828,37.33293914794922,274.60693359375,138.67999267578125,205.38458251953125,139.684814453125,175.73089599609375,54.38362503051758,103.68553924560547,24.88030242919922,291.9935607910156,26.026199340820312,77.12176513671875,66.11000061035156,6.794241428375244,92.79608154296875,30.413118362426758,64.07740020751953,90.61000061035156,46.54716491699219,48.85611343383789,,15.256014823913574,47.26499557495117,20.790666580200195,19.290000915527344,242.47000122070312,131.96336364746094,45.40999984741211,139.01771545410156,39.35637283325195,49.31526565551758,29.02631950378418,29.462299346923828,,59.50880813598633,
